review,rating,date,bank,source,sentiment_label,sentiment_score
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,Commercial Bank of Ethiopia,Google Play,positive,0.07333333333333335
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,2025-03-29,Commercial Bank of Ethiopia,Google Play,negative,-0.1106704761904762
"I have seen lots of great updates right here, especially the 2FA using the biometric security technique, I suggest you work on minimising app crashing due to the accumulation of cache, very little cache crash it.",4,2025-02-03,Commercial Bank of Ethiopia,Google Play,positive,0.4100971428571429
"Add customer service please other than calling 951. Why would you have a mobile app but not an online text-based customer service? Why? Disappointing And I will never use the top-up feature again, I have been trying to recharge my safaricom balance but your app would say time out and then credit my account but never recharge my balance, why? Where is my money? Do you expect me to call 951 at midnight?",2,2025-02-08,Commercial Bank of Ethiopia,Google Play,negative,-0.32392
"Why on earth is CBE telling me to turn off developer mode? As the name clearly states, it's for developers, not for CBE to dictate. There are countless financial apps out there that work just fine without demanding such an unnecessary restriction. If your app can’t handle developer mode, that’s a you problem. Fix your code instead of disabling features that have absolutely nothing to do with you.",2,2025-01-25,Commercial Bank of Ethiopia,Google Play,negative,-0.22706476190476188
"I really like this app as it is being updated from time to time and includes multiple payment options. In particular, giving a receipt makes it even more preferable. However, when it is refreshed, it does not show the history of credit and deposit in order and, I am of the opinion that it is better if the recent history is fixed respectively according to the transaction date in the future because there is a problem of confusion.",3,2024-09-12,Commercial Bank of Ethiopia,Google Play,positive,0.5461451851851852
"The previous version is much better than this one. I used it for more than six years without any problem. But now I'm having a serious trouble with the updated app. I don't know why it takes him forever to refresh and load the home page once you sign in. And if it fails to load, it never recovers. I only see some UI changes. Really disappointed",2,2021-01-01,Commercial Bank of Ethiopia,Google Play,negative,-0.58366
"I like the application very much because it is user friendly and makes transactions easiest, especially for business matters. But, these few days I faced difficulties of opening it. I tried to uninstall and re install the app, and re verified at the nearest cbe center. But still failed to use all the functions. It says 'none available'. Any suggestions please!",3,2023-06-05,Commercial Bank of Ethiopia,Google Play,negative,-0.08165714285714286
"Most of the time, in the 'Recents' button the app becomes stuck and doesn't show up details of transactions and doesn't even scroll down; should be solved. Second, the app doesn't save the last pop-up screen when a transaction is complete. Third, there is no telebirr transfer to other person option and the app by default lets you to only own telebirr transfer.",4,2022-10-06,Commercial Bank of Ethiopia,Google Play,negative,-0.3046758024691358
"It's a great app. I've been using this app since the bank launched it. As a long-term user, I would like to point out things that need to be improved. 1. Deleting money transfer history should be the user's choice. 2. There should be an option to download an in-depth transfer history for each transfer activity , just as there is posiblity to download a single time transfer recit. Do that and get 5 star.",3,2022-03-18,Commercial Bank of Ethiopia,Google Play,positive,0.6741342857142858
"This app has several issues based on my experience. Below are the problems that I encountered: 1. The app frequently crashes. 2. It only shows a limited transaction record history (25 transactions). 3. You can't access the transaction records after 8:00 pm and on Sundays. 4. It displays a ""payment failed"" message. It would be greatly appreciated if you could address these issues",1,2024-08-25,Commercial Bank of Ethiopia,Google Play,negative,-0.32517523809523813
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,Commercial Bank of Ethiopia,Google Play,negative,-0.37781515151515144
"My experience with this app has been outstanding so far,but sometimes it has a hard time connecting with network and makes it hard to make transactions. Apart from that it's amazing.",4,2024-12-17,Commercial Bank of Ethiopia,Google Play,positive,0.5260266666666666
"I have been using this app for almost four years now. In the beginning, it was working fine. Sometime later, it gets difficult to create a connection to my account, and could not manage to make and see transactions on my account. After updating it lately, Jul 2020, I was glad this app came with some user interface improvements, and the connection was quite fast. Not longer than two weeks, the app starts to get stuck, and it cannot even show me the UI properly. As a result, I have a useless app on my cell phone, hoping that [you] will soon come with updates.",2,2020-09-03,Commercial Bank of Ethiopia,Google Play,positive,0.3339733333333333
"Application UI and new features are better than the previous version. I found a minor bugs though. I couldn't transfer to an account from the beneficiary list, it says None Available; There is still so much to do with the localization; Instead of ሰኔ it says ጁን and more like this; date conversion is missing also. If this minor things are fixed it will be much better.",3,2020-11-05,Commercial Bank of Ethiopia,Google Play,positive,0.5832689807162534
"It is a good and progressive app through the updates. I think the app should further solve its bugs like 1. It doesn't download or share attachment on android 12 and 11, it used to work on android 10. 2. Sometimes transactions seem like they have failed and there are no records, but the transactions actually have passed this is a very serious issue, because people will try the transaction again which will end up doubling the payment.",4,2022-09-15,Commercial Bank of Ethiopia,Google Play,neutral,0.03785333333333333
"With each update the app is getting slower and slower, specially when requesting transaction history. And I wish the logging process could be done easily. When someone changes a phone, it makes it mandatory to consult the branch and that makes it not to be self assisted. Hope you could fix it. Please add an option of transferring to other TeleBirr numbers other than the ""Own telebirr"" option. It id very limiting now a days",4,2023-08-11,Commercial Bank of Ethiopia,Google Play,positive,0.6068650793650794
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Commercial Bank of Ethiopia,Google Play,positive,0.7510733333333334
"The CBE mobile banking app is a time-saver, but it needs several improvements, like adding fingerprint authentication. It's risky when people see me entering my PIN. Additionally, the fees are unreasonable. You could learn from Tele Birr, which adjusts fees based on the transaction amount. However, the CBEMB app charges a flat 10 birr fee for amounts between 5 and 1000 birr, which I think is unfair.",2,2024-09-04,Commercial Bank of Ethiopia,Google Play,negative,-0.32289999999999996
"The app is awesome. But there are many things to highlight.For example, When spending money from the account , a confirmation text message must be sent to the account holder. Also the fact that, the PIN is only four digits is not safe enough for security, if it is more than eight digits and includes numbers and symbols, it will be cool.",3,2023-01-29,Commercial Bank of Ethiopia,Google Play,positive,0.5217
"Still needs development on several features.... For example - bank statements available online. The text feature of available balance and debited/credited notifications is very old school and involves too much digital trail. App doesn't always work, could be due to network issues in Ethiopia though. Another major issue is an error message is displayed when transferring from CBE to other banks. Ive almost lost a few thousands doing this once. Always cross check your balances.",1,2024-08-27,Commercial Bank of Ethiopia,Google Play,negative,-0.32204
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,4,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.19091999999999998
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,Commercial Bank of Ethiopia,Google Play,neutral,-0.028447272727272734
"The app has brought a new problem. When i open the app, it closes itself then i have to open it again. Please fix this issue if it's your problem",3,2025-03-14,Commercial Bank of Ethiopia,Google Play,negative,-0.2678381818181818
"The good thing is its simplicity to undertake the basic functions. Updates with improvements and fixes should have been released by now. Please fix. 5 years after last review… Issues with beneficiary are fixed. However, still unable to track transactions much less to download in appropriate formats. This feature got diminished in the latest update. Please improve and fix.",3,2023-03-15,Commercial Bank of Ethiopia,Google Play,positive,0.6146666666666667
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play,positive,0.7492866666666667
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play,neutral,0.0
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play,positive,0.59154
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,positive,0.73498
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,-0.17942000000000002
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,positive,0.21435428571428572
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,Commercial Bank of Ethiopia,Google Play,positive,0.2476
The updated app is attractive and is working very well. Forced to revise my previous rating of 2 star to 4 star. Hope it will keep on working! Rated it excellent for the past years. Revised my review after it keeps on crashing in 2019 and installing it for a second time in less than 3 months. Please work on the problems.,4,2020-07-25,Commercial Bank of Ethiopia,Google Play,positive,0.54455
"I really love this app,it is amazing. It is more flexible than any other banks app. The only and main problem that I encountered with this app is,if it is uninstalled from this devices, I have to go to the bank and mostly the specific barank the account is opened to reconfigur again. This is very unpractical in most cases,since people are traveling and very busy in their day to day activities. Kindly consider to change this option.",5,2023-09-11,Commercial Bank of Ethiopia,Google Play,positive,0.6589355555555556
"I have been using this app for more than a year it came with best version, but now after the last update it's not working well as before. It can't sync, the connection is not working at all. I can't see recent transactions and make any transfer , all the features are not working, I hope you will come with a better update soon.",2,2020-09-12,Commercial Bank of Ethiopia,Google Play,positive,0.32668
"In fact, it's a good app to make our daily life easier! However, I have encountered several times issues with this app. 1. It's not always working with network error, even though the network is good on my phone. 2. It happened to me several times that when I transfer money to someone's account, I doubled the transfer! Or in another word, my money sent two times. If I wanted to send 10,000, I found that sent 20,000 because of the APP error. I hope this will be fixed soon.",1,2023-09-04,Commercial Bank of Ethiopia,Google Play,positive,0.56242
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,Commercial Bank of Ethiopia,Google Play,negative,-0.26602
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,Commercial Bank of Ethiopia,Google Play,negative,-0.4729
Since last week this app has started not working. It simply log in without network but can't sync. Please fix it.,5,2025-03-21,Commercial Bank of Ethiopia,Google Play,negative,-0.20946
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia,Google Play,positive,0.12708000000000003
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,Commercial Bank of Ethiopia,Google Play,positive,0.7223
"URGENT FIX REQUIRED!!! The app does not work anymore! Account balance is not displayed. Trying to use any service on the app shows error ""None available"". What is the point of an internet/mobile banking app if you cannot carry out banking services from your fingertips? I also don't want to reinstall because CBE activation code can only be recieved in the bank, which sounds very ridiculous. These days, banks send OTP to email, so customers can manage their account anywhere in the world.",1,2023-12-26,Commercial Bank of Ethiopia,Google Play,negative,-0.3969644444444444
"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",1,2025-01-01,Commercial Bank of Ethiopia,Google Play,positive,0.34536
some times it is difficult to get reciepts for the payment made,1,2025-03-23,Commercial Bank of Ethiopia,Google Play,negative,-0.41672
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,negative,-0.5387
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Commercial Bank of Ethiopia,Google Play,positive,0.25289999999999996
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,Commercial Bank of Ethiopia,Google Play,positive,0.2
In the lasted update you removed the capability to screenshot transactions.,3,2025-03-21,Commercial Bank of Ethiopia,Google Play,neutral,0.0
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.37912
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play,positive,0.7327847619047618
"Sometimes it brings a contradicting notifications. First I saw an internet poll form. After I filled it, another message comes that advises users not fill any forms sent or bank did not send such documents. Sometimes the app gets stack without any prior notices. It happened quite numerical times with me. Otherwise great app. I think a followup maintenance and improvements needed",3,2024-03-09,Commercial Bank of Ethiopia,Google Play,positive,0.49094000000000004
"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",1,2025-02-07,Commercial Bank of Ethiopia,Google Play,negative,-0.1
"Before the new version, the app was fast and merits 4 ⭐. However, following the upgrade, the app is slow and takes time to reload. Apps are useless without speed, so make them work.",1,2024-12-19,Commercial Bank of Ethiopia,Google Play,negative,-0.0525709090909091
Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,1,2025-02-07,Commercial Bank of Ethiopia,Google Play,negative,-0.22076
"Why force-disable Developer Options in the latest update? I get that it's a security precaution, but it's overkill. Plenty of other financial apps do not require it and it's sometimes necessary for debugging/experimental reasons",1,2025-01-21,Commercial Bank of Ethiopia,Google Play,positive,0.14424
I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app 🙄 This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous 😒,2,2025-01-06,Commercial Bank of Ethiopia,Google Play,negative,-0.2478311111111111
The apk doesn't work when the phones developer option is turned on. It always asks me to turn off the developer options to open the apk. Please fix it as it is unnecessary.,4,2025-01-26,Commercial Bank of Ethiopia,Google Play,positive,0.11091999999999996
"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",1,2025-01-01,Commercial Bank of Ethiopia,Google Play,negative,-0.4326487499999999
Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,1,2025-01-01,Commercial Bank of Ethiopia,Google Play,negative,-0.5548733333333333
The app is crashing several times it's really annoying and sometimes it's says failed during different operations ?????? Please fix it!?,1,2025-02-04,Commercial Bank of Ethiopia,Google Play,negative,-0.5732200000000001
"It's very good app for transactions, to give you 5star one more thing you need to do is include bank statement showing methods. And one more thing after you take your commission why you take 5birr monthly without my confirmation?",4,2024-12-16,Commercial Bank of Ethiopia,Google Play,positive,0.5502866666666666
It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,1,2025-02-11,Commercial Bank of Ethiopia,Google Play,positive,0.18625333333333333
The new update is seems force enable developer options on setting. And please fix the problem on iphones it only works for few days every time it get maintained at branches,1,2025-01-17,Commercial Bank of Ethiopia,Google Play,negative,-0.07010484848484848
It have a bug it keeps shut down when I open the app. Without any notification. Please fix the bug.,3,2025-02-22,Commercial Bank of Ethiopia,Google Play,negative,-0.17577111111111113
"The banks logo, the hidden accounts data are not seen. It is saying it saying unconnected and hence does not sync.",2,2025-01-05,Commercial Bank of Ethiopia,Google Play,negative,-0.06666666666666667
"I love this app. It's simple to use and syncs fast. The only issue I had was the balance shows only what's on the ledger, there is no way to tell what the actual balance is. I learn about the difference between the two balance types the hard way on an ATM machine. I would love to see that fixed in your next update.",5,2021-09-25,Commercial Bank of Ethiopia,Google Play,positive,0.5073133333333333
"It is a service that is not expected from such a large institution. I saw that your work is very complicated. The user does not understand well your application. In general, you have many problems. This application is not convenient for the end user. For instance I can't access my account from abroad what I depsited amount and transfer from my account to any any one .It is a shame.",1,2024-10-16,Commercial Bank of Ethiopia,Google Play,negative,-0.44858761904761907
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play,negative,-0.49881999999999993
"This application fast, secure and more convenient. Thanks CBE",5,2025-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.53716
"In my view, I can't give any conclusion because it's the starting of an online banking in my country. However, the commercial bank of ethiopia must rebuild this app and also need to make more access to changing the system. Keep continuing ethiopia 🇪🇹 🇪🇹🇪🇹🇪🇹",5,2025-03-14,Commercial Bank of Ethiopia,Google Play,positive,0.06666666666666667
in this update why screenshoot is disabled now it's not working,1,2025-03-28,Commercial Bank of Ethiopia,Google Play,negative,-0.08000000000000002
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play,negative,-0.43601999999999996
"This application is really bad. It is slow and doesn't work properly. It doesn't show recent activities. Using this app I transfered money to a friend and after showing deduction on my account, the money didn't reach the other end,the activity is not reflected on my recent transactions either. The worst app ever. It doesn't work outside of Ethiopia.",1,2021-05-31,Commercial Bank of Ethiopia,Google Play,negative,-0.52457
"It is a nice app compared to the previous one. I appreciate you have included local language but the details in the Amharic section will return to English mode, please fix that problem plus additional local language will increase its usability. Also it would be nice if the terms and conditions agreements, security tips, charge and transfer limits.... are included in the app.",4,2020-07-26,Commercial Bank of Ethiopia,Google Play,positive,0.6249088888888888
it's a very good application but sometimes it takes a long time to synchronize,4,2025-03-23,Commercial Bank of Ethiopia,Google Play,positive,0.33543999999999996
"The 'unsubscribe' button in the CBE Android app is misplaced. It should be at the middle of the menu or somewhere else rather than at the end. The end is usually for a 'log out"" and I inadvertently touched ''unsubscribe"" many times. This could lead to customers accidentally unsubscribing from the service.",4,2024-11-11,Commercial Bank of Ethiopia,Google Play,negative,-0.199
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,negative,-0.25304
It sends unwanted welcome notification every time you login. There is no way that you can disable this.,3,2025-02-13,Commercial Bank of Ethiopia,Google Play,positive,0.30452000000000007
"The app is unresponsive the time when the fragments are attached. It is just like shivering. Still, I can't download the transaction history instead it just toasted me can't save. Please consider all this things. But I would recommed you to use a tab layout. This is because, consider I am using latest Samsung 🤔 device, how do you think that your app is running on other damn devices like techno and itel ? It is horrible.",3,2022-08-26,Commercial Bank of Ethiopia,Google Play,negative,-0.5420933333333333
